Week,Building,Floor,Space Type,Space Name,Capacity,Avg. Occupancy,Avg Utilization,Avg Hours Used (HH:MM)
"January 1, 2024",Calgary Building 1,3,Desks,E364B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E364C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E364D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E364E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E365E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E365F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Desks,E366C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,3,Meeting Room,E303,4,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 2,4,Desks,417A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 2,4,Desks,417G,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 2,4,Desks,417J,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 2,4,Desks,430A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 2,4,Desks,430B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 2,4,Desks,448C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 2,4,Desks,448D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 2,4,Desks,449A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 2,4,Desks,449B,1,0.00%,0.00%,0:00
